Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath
43,2,0,6,3,7,1,3.8729826511234626,2.077547482142922,16.76278890847316,10.702895081130693,4.890254075391029,0.0,7.548889249806123,12.066811274593865,7.9546218619318765,0.0,2.6617918646234986,10.535157090256048,64,15,28,15,0,4,8,0,0,0,0,0.977573769316137,0.27829920746962145,0,1,3,0,0,4.3955119020562705,12,0,4,3,0,8,27,6.91991735295889,13,7,0,3,4,14,2,9,10,0,0,3.7979638014046913,1.375257478166736,0.0,8,0,0,0,0,0,1,11,5,2,4,0,0,3.4404471297235126,2.8465061194544505,3.1546639086583337,2.6812242435238223,1.3211585732502473,3.621850267384255
0,1,3,3,8,3,2,5.462984815881869,2.721542997145483,18.938844838563224,10.452764580419489,7.746440355465579,1.1657349118645897,5.549896251181985,1.1221029655077892,7.864803939362914,6.513333942987405,6.940572615015466,14.427538933112585,68,5,24,9,7,1,86,1,0,0,0,0.6571154980713467,0.12127250574059115,0,1,7,1,0,0.0,12,4,1,2,1,0,40,9.388807602287466,10,2,4,17,3,8,13,16,12,0,2,4.649875779228205,1.380829252837673,3.408380690246334,0,0,0,0,0,0,0,6,0,0,1,0,0,3.2256251880095412,3.5125439163460994,2.3547919450661556,1.6137754125384267,1.33126306489064,3.553052884630562
27,2,0,7,8,5,1,2.3065118142319596,2.761592677457379,20.544800141660286,11.737845913962799,10.025433979684694,10.658567475668246,0.0,15.879748923764925,5.888252242343619,2.9029344406882207,4.843519496930439,3.6926061074067498,96,16,35,7,5,1,26,1,0,0,0,1.0,0.0,0,1,7,1,0,20.212222892191328,9,1,3,5,0,0,14,15.905906026118709,12,8,2,6,8,1,0,11,8,1,1,1.5739058366173724,1.5250959739725976,5.881733878363738,5,0,0,0,0,0,0,8,2,0,2,0,4,3.489671963379359,3.1386059863533085,1.9877154882718853,2.623687804706353,0.23884288469597015,2.0047665516670192
67,2,2,9,1,8,1,1.848855427713969,2.9045102801400144,23.62874949530341,16.557591299252877,0.8561979796342385,3.360386620914866,7.826502631384329,10.677895484773043,6.592668847582511,5.12789307331324,1.9073283802110756,5.932653105066295,55,19,27,19,0,6,38,0,0,0,0,1.0,0.22277503882840247,0,1,0,0,0,4.629030104338869,1,0,1,0,0,4,21,17.263222088077807,6,5,3,17,12,13,4,11,3,0,0,5.10370972105504,2.8771364753316426,3.442450745599584,11,0,0,0,0,0,0,8,0,0,2,1,3,3.7505565835503467,3.1411738255019217,2.5909783820595567,1.4887240734452316,0.8844701600502549,1.9960444547796778
35,1,1,6,4,5,2,4.448594614363189,1.4398865947641766,26.485137229705227,10.83186859363254,11.1013585038167,0.0,11.846790298499522,13.998696079487956,2.4444462584030475,4.739885897473629,1.4021803485031423,13.28822088537137,68,14,38,6,10,6,77,0,0,0,0,0.4413417832936718,0.4158019278472227,0,1,8,0,0,5.911009097912105,6,0,10,0,0,2,56,11.646422041377686,12,4,3,11,0,6,6,21,6,0,1,0.0,1.7925074116726067,4.92359833509461,6,0,0,0,0,0,0,7,1,4,1,0,0,4.091458103230881,2.324865893772099,2.8549158635433165,2.607468114081728,0.19088636524080393,2.47112149688163
25,3,5,6,10,5,1,5.201918569399794,5.181715103950501,18.2339136588365,11.455245301192388,4.452648283380688,8.705742164930818,7.533890772470446,6.391555447275795,1.0,4.178888012546695,0.0,0.0,83,24,34,19,6,1,0,0,0,0,0,0.49823399851270356,0.0,0,1,1,1,0,10.411800203491774,4,0,3,0,0,0,33,12.223291404817331,14,3,0,5,5,10,17,9,8,0,1,0.504744401712415,0.0,0.30779572764533825,4,0,0,0,0,0,0,6,0,1,0,0,4,2.287426657951599,2.419505953574859,1.6767066985399623,2.057922201725926,2.2231589294551615,2.2606142141965324
3,2,1,4,10,9,2,4.6650646261952815,2.3516466747231464,17.263062823307852,6.767316013398024,8.995986480370803,5.040066774631018,19.67690591764555,3.7899701067997826,6.450243391035072,7.371021745354112,4.872199533600467,10.110324282215288,110,11,43,14,0,5,0,0,0,0,0,0.41883925790189724,0.3277518763351954,0,1,5,0,0,21.425892227901148,12,4,8,0,1,2,23,15.791765163220328,6,17,0,12,17,5,12,8,8,0,1,4.419323731275752,2.4034703847675045,2.4726485640564015,10,0,0,0,0,0,0,4,2,1,2,0,0,3.1841194128685952,4.286068094866188,2.1105044256768184,3.384630873555451,0.20256236799219995,3.5286762431832703
21,1,3,2,3,4,1,2.381092541805345,0.0,22.625934041205838,6.139277678390877,8.740049448832233,8.314821466873177,10.066879063579313,11.043017536564669,6.971970768816433,0.40140536494187806,2.9362373582459256,1.926737870554967,62,16,25,12,13,3,22,0,0,0,0,1.0,0.26630833902673856,0,0,5,0,0,10.200372908663116,14,2,2,3,0,2,43,12.658992135054099,10,5,1,11,2,16,5,10,0,0,3,6.342242457126495,0.6591034205549827,0.11368015126122089,10,0,0,0,0,0,0,13,1,4,7,0,0,3.679548121094503,2.8933045648267863,2.8062013379094126,2.6266032269053454,0.4760798905650899,3.2459167731915426
12,3,1,4,9,4,1,5.354969684182787,0.4964363813506738,23.665069498465126,14.748488340320002,11.253759174391535,5.830876025658096,16.455145275920678,9.865586240175432,9.627793705276133,3.448957325136919,0.0,6.409889468412627,25,15,34,11,17,4,63,0,0,0,0,0.9225961766872278,0.35002965264646674,0,1,1,0,0,0.0,13,3,4,0,0,1,32,5.532475703308121,6,0,3,16,13,4,15,1,5,0,0,3.986863976367391,1.1071550728393236,1.5444689088373142,11,0,0,0,0,0,0,1,0,2,0,0,7,3.5505684420188572,2.5351368026529837,2.555096094406627,3.265048025095899,0.47969957257924767,3.7694287956497172
0,3,2,3,12,6,1,2.5122781458087315,0.0,17.394797400446688,7.2295606602000895,9.652773142680621,6.3756774086365064,11.307102063649841,8.033836695371336,10.714007448247102,7.052113739352144,2.3928553816918,5.029523810398903,23,14,15,9,17,4,0,0,0,0,0,1.0,0.3743950999438015,0,1,4,0,0,15.438770041121803,4,8,0,2,1,3,33,7.935129876799097,7,3,3,4,5,6,4,4,8,0,1,2.919315226931975,0.0,3.5444229547050097,9,0,0,0,0,0,0,5,0,1,1,0,8,3.8016881212633624,3.8586594993535783,3.0368867626876543,1.8710472985023652,0.2516697616385598,3.277540772187643
11,1,3,3,11,7,1,2.956922710427233,2.026001943726961,24.74236086179703,6.868167785594074,0.8681285248100572,6.08902774314355,14.132036549466289,10.338645122931055,10.70999545499684,3.1577456739668954,1.2968979122351438,2.167953597195083,42,14,11,18,10,5,0,0,0,0,0,0.9583302353362562,0.061106951614929406,0,1,3,0,0,5.15010275738276,0,0,2,6,0,9,51,13.175599715758326,3,6,0,8,11,9,13,3,6,0,1,0.0,1.5262020181238958,2.203641226206597,10,0,0,0,0,0,0,5,2,3,0,0,0,3.733770143063277,3.1690851292101314,2.071199003614863,2.439300338170917,1.6762969548782727,3.1460547073113583
26,4,1,8,8,7,1,2.1120929505559953,1.8172921639199995,25.877512046935838,9.882703236350341,5.645662258532026,7.092464935763,11.39620776966781,21.06974356812904,3.0059292201183667,0.17357987219008475,8.727032776511981,2.0675922893668996,41,16,46,3,8,3,63,0,0,0,0,0.633346272958145,0.0,0,1,4,0,0,28.879239715294663,0,2,4,0,0,5,23,18.07741208248847,18,8,0,8,15,3,1,9,6,0,1,0.0,0.3486257099324478,0.0,9,0,0,0,0,0,0,7,0,4,0,1,2,3.4475660685032965,3.346892950118713,3.2284682491319803,1.713238989318605,2.211223950541748,3.839810846240919
0,3,4,5,6,8,1,6.602316697304062,1.2973614531508133,27.75011879395204,9.729422759867836,8.41461538805984,11.832291345668295,16.843923159517814,13.338102189476231,4.943204895150692,7.005666029770207,0.0,7.105657457015018,75,19,23,0,16,6,6,0,0,0,0,1.0,0.09329609486342415,0,1,3,0,0,9.988802780021098,15,3,8,0,0,14,26,20.07991212081024,16,8,1,14,12,10,13,5,11,0,0,3.258819073791738,1.1001696379934738,0.0,7,0,0,0,0,0,0,3,2,2,4,0,3,3.3365734020064117,2.91717175483108,2.0897445417638827,2.110476330078907,0.7621254403436913,3.3288091378145337
0,2,0,6,5,6,1,5.266843082054699,5.016389168600771,30.669925440318934,7.292480480670125,7.415060341640639,7.913019007877564,10.279696750662003,14.197994423453276,7.441002887644139,8.369283891324617,0.0,9.982157312650727,44,22,32,15,18,4,14,0,0,0,0,1.0,0.37782546350540147,0,1,5,1,0,0.0,6,0,4,1,0,5,42,15.89764710385725,13,9,1,0,13,16,6,7,0,0,0,2.283874660857651,0.715900994639217,0.0,6,0,0,0,0,0,0,6,6,2,0,1,8,3.4772492551322496,2.8087961456539174,3.7856405811625775,2.2165270440787594,0.33978842657779496,3.0476706744064033
0,4,3,5,10,7,2,5.2099867513577465,2.8234743111153664,14.801503168043366,9.0850803438607,9.43283218927031,0.2589820464633954,12.480603540443928,13.375747566213423,13.595714033226532,4.865014377070981,7.329908929317099,5.481055187245987,59,15,22,15,15,4,0,0,0,0,0,1.0,0.0915992192948058,0,1,3,0,0,13.57364972155674,4,2,7,3,0,3,55,13.436453805181818,22,3,0,16,1,6,3,11,0,0,0,0.7883296356957641,2.9250128017358517,2.9829051798791806,5,0,0,0,0,0,0,4,4,0,0,0,2,4.174371174911371,2.898248176501626,1.7705450293730098,1.8918992455190025,0.0,4.03631712375148
32,2,4,5,9,5,1,6.494422842284901,3.089147542169502,20.083389255995066,13.688127152950313,10.368099667009115,6.33998454583671,11.83166466825022,15.917848575408772,10.440297611141748,0.0,8.07028947239189,6.280452634932866,57,19,11,14,2,1,3,0,0,0,0,0.6882373093246366,0.061191335228471616,0,1,3,0,0,29.445977922602285,16,0,5,0,1,4,59,15.744069429912384,9,7,0,12,15,10,7,10,6,0,0,3.1310651616601013,2.9822603001455894,6.1277890713133365,1,0,0,0,0,0,0,0,2,0,0,1,2,3.2339960335471427,2.170357097820824,2.1444674377699524,1.5491479988080132,0.8779456407389492,3.080626618206953
36,2,3,6,11,6,1,9.625298496477447,0.6033897680868452,20.06766617971196,7.582019173504607,9.825355209289038,8.424442304309654,8.558572709363405,9.23971330839702,9.35819148599514,7.1179092400964485,1.7650511838230756,8.28469626516419,67,11,20,13,9,7,30,0,0,0,0,1.0,0.0,0,1,5,0,0,25.759202885453895,14,6,8,0,0,5,30,8.666245748965721,28,2,0,0,3,1,9,5,13,0,0,3.2302627350156192,1.0465131702147414,4.724916488000426,2,0,0,0,0,0,1,5,1,4,0,1,8,3.5685966384280223,2.9472435543480615,3.0504224818190973,1.4105378734431429,0.841817288419278,2.786961576557455
